restaurantID,name,location,reviewCount,rating,categories,address,Latitude,Longitude,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
-Aev5O4GkAG1zVKc4dRBTg,Harry's Hot Dogs,"Harry's Hot Dogs - CLOSED - The Loop - Chicago, IL",14,4,"Restaurants, METADATA","300 W Randolph St Fl 1 Chicago, IL 60606 ",41.884648,-87.635573,,Yes,No,,Casual,No,$,No,No,Yes,No,No,,Lunch,No,,,,,No,,(312) 782-7386,3
-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,"Terzo Piano - The Loop - Chicago, IL",143,3,"Restaurants, Italian, METADATA","159 E Monroe Dr Chicago, IL 60604 ",41.880486,-87.622286,"Mon-Wed, Fri-Sun 11 am - 3 pm Thu 11 am - 9 pm",No,Yes,Garage,Casual,Yes,$$$,Yes,No,No,Yes,Yes,No,Lunch,Full Bar,Average,Trendy,No,No,Yes,http://www.terzopianochicago.com,(312) 443-8650,18
-BKSuORz6rwIcTSGAV_GwA,Delmonico,"Delmonico - The Loop - Chicago, IL",26,4,"Restaurants, American (Traditional), METADATA","111 W Washington St (between Clark St & La Salle St) Chicago, IL 60602 ",41.882936,-87.631458,,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,,,,,Yes,http://www.delmonicochicago.com/,(312) 345-0707,2
-iC6IMSJaNL8BcWHxvf9Sg,Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",93,4,"Restaurants, Mediterranean, METADATA","310 W Adams (between Franklin St & Wacker Dr) Chicago, IL 60606 ",41.879467,-87.635854,,No,Yes,Street,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Average,Casual,No,Yes,Yes,http://www.roti.com,(312) 236-3500,7
-iXqnFg4a_IlGq4gqFXrSw,Chipotle Mexican Grill,"Chipotle Mexican Grill - The Loop - Chicago, IL",21,4,"Restaurants, Mexican, METADATA","8 E Madison St (between Holden Ct & State St) Chicago, IL 60602 ",41.882287,-87.627123,,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,Yes,,,No,Loud,,No,No,Yes,http://www.chipotle.com,(312) 629-3662,2
-kwXSPyiUMsP6FCzUEYJmA,Mei's Kitchen,"Mei's Kitchen - South Loop - Chicago, IL",13,3,"Restaurants, American (Traditional), METADATA","1108 S Michigan Ave (between 11th St & Roosevelt Rd) Chicago, IL 60605 ",41.869093,-87.624521,Mon-Sun 7 am - 10 pm,Yes,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,,Breakfast,Full Bar,Quiet,,Yes,,Yes,http://meiskitchen.com/,(312) 294-2488,16
-n8cYKty5pRIm6ggf59sxw,Corner Bakery Cafe,"Corner Bakery Cafe - Near Southside - Chicago, IL",11,3,"Restaurants, Breakfast & Brunch, Sandwiches, Event Planning & Services, Caterers, METADATA","1400 S Lake Shore Dr (between Mcfretridge Dr & Waldron Dr) Chicago, IL 60605 ",41.866173,-87.616986,Mon-Sun 9 am - 5 pm,Yes,Yes,,Casual,Yes,$$,No,No,Yes,No,No,Free,,No,Average,,No,Yes,No,http://www.cornerbakerycafe.com,(312) 588-1040,0
-OoRBi390Kiv6vDMKDOfNA,Cajun Grill At Union Station,"Cajun Grill At Union Station - Near West Side - Chicago, IL",16,2,"Restaurants, Chinese, METADATA","225 S Canal St (between Adams St & Fulton St) Chicago, IL 60606 ",41.878693,-87.638924,,Yes,Yes,Garage,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Loud,,No,No,Yes,,(312) 648-8603,1
-Vc6DgUUXKcVVVTQ4YZmJQ,IPO,"IPO - The Loop - Chicago, IL",30,4,"Restaurants, American (New), METADATA","172 W Adams St (between La Salle St & Wells St) Chicago, IL 60603 ",41.879731,-87.633141,,No,Yes,,Casual,,$$$,Yes,No,No,Yes,No,,Dinner,Full Bar,Very Loud,"Hipster, Trendy",No,No,,http://www.starwoodhotels.com,(312) 917-5608,3
-x256BGaUq3lUL2_oF2x_g,A' Cappella Bistro,"A' Cappella Bistro - Near Southside - Chicago, IL",22,2,"Restaurants, Breakfast & Brunch, Italian, METADATA","1301 S Michigan (between 13th St & 14th St) Chicago, IL 60605 ",41.86568,-87.623879,Mon-Fri 11 am - 9 pm Sat 10 am - 9 pm Sun 10 am - 7 pm,Yes,Yes,"Garage, Street",Casual,No,$$,,Yes,Yes,Yes,No,No,Dinner,No,,,No,,Yes,http://acappellabistro.com,(312) 922-0600,18
