Restaurant Name,Sentiment labels,Review Rating
Hair by Megan B.,Positive,5
One Illinois Center Dental Associates,Negative,1
Valet Parking Service,Positive,4
Downtown Tobacco,Positive,5
Warehouse Liquors,Negative,5
Warehouse Liquors,Positive,4
Warehouse Liquors,Positive,5
Warehouse Liquors,Positive,2
Warehouse Liquors,Positive,5
Warehouse Liquors,Positive,4
Warehouse Liquors,Positive,5
Warehouse Liquors,Positive,5
Warehouse Liquors,Positive,5
Warehouse Liquors,Positive,4
Working on Labor Day,Negative,1
Colin Lyons Wedding Photography,Positive,5
Colin Lyons Wedding Photography,Positive,5
Colin Lyons Wedding Photography,Positive,5
DSW Designer Shoe Warehouse,Positive,3
Harry's Hot Dogs,Negative,4
Harry's Hot Dogs,Positive,3
Harry's Hot Dogs,Positive,5
Harry's Hot Dogs,Negative,3
Harry's Hot Dogs,Positive,5
Harry's Hot Dogs,Positive,4
Terzo Piano,Negative,2
Terzo Piano,Positive,2
Terzo Piano,Positive,4
Terzo Piano,Positive,2
Terzo Piano,Negative,2
Terzo Piano,Positive,3
Terzo Piano,Positive,4
Terzo Piano,Positive,5
Terzo Piano,Negative,2
Terzo Piano,Positive,4
Terzo Piano,Positive,4
Terzo Piano,Positive,3
Terzo Piano,Positive,3
Terzo Piano,Positive,3
Terzo Piano,Positive,4
Terzo Piano,Positive,4
Terzo Piano,Negative,2
Terzo Piano,Positive,1
Terzo Piano,Positive,3
Terzo Piano,Positive,3
Terzo Piano,Positive,2
Terzo Piano,Positive,4
Terzo Piano,Positive,3
Terzo Piano,Positive,2
Terzo Piano,Positive,5
Terzo Piano,Positive,3
Terzo Piano,Positive,4
Terzo Piano,Positive,3
Terzo Piano,Positive,3
Terzo Piano,Positive,1
Terzo Piano,Positive,3
Terzo Piano,Positive,5
Terzo Piano,Positive,5
Terzo Piano,Positive,1
Terzo Piano,Positive,2
Terzo Piano,Positive,3
Terzo Piano,Positive,4
Terzo Piano,Positive,4
Smart Resources,Positive,1
Smart Resources,Positive,2
Smart Resources,Positive,4
Smart Resources,Positive,5
Smart Resources,Positive,5
Smart Resources,Positive,4
Smart Resources,Positive,5
Smart Resources,Positive,5
Smart Resources,Positive,5
Smart Resources,Positive,3
Smart Resources,Positive,5
Smart Resources,Positive,3
Delmonico,Positive,3
Delmonico,Positive,3
Delmonico,Negative,5
Delmonico,Positive,3
Delmonico,Positive,3
Delmonico,Positive,5
Delmonico,Positive,3
Delmonico,Positive,3
Delmonico,Positive,5
Macy's,Positive,3
Macy's,Positive,5
Macy's,Negative,4
Macy's,Positive,5
Macy's,Positive,1
Macy's,Positive,3
Macy's,Positive,2
Macy's,Negative,3
Macy's,Positive,3
Macy's,Positive,5
Macy's,Positive,1
Macy's,Negative,1
Macy's,Positive,2
Macy's,Positive,3
Macy's,Positive,5
Macy's,Positive,2
Macy's,Negative,1
Macy's,Negative,1
Macy's,Positive,2
Macy's,Positive,3
Macy's,Positive,3
Macy's,Negative,1
Macy's,Positive,2
Macy's,Positive,3
Macy's,Positive,5
Macy's,Negative,1
Macy's,Positive,4
Macy's,Positive,5
Macy's,Positive,1
Macy's,Positive,2
Macy's,Negative,1
Macy's,Positive,2
Macy's,Positive,4
