Restaurant Name,Address,Failed inspection on,Alive for x years
1104 WABASH,1104 S WABASH AVE ,08/16/2010,2.6301369863013697
1154 FULTON MARKET,1154 W FULTON MARKET ,05/15/2012,2.421917808219178
312 URBAN WHEAT ALE,201 E RANDOLPH ST ,08/18/2011,1.2876712328767124
623 WABASH,623 S WABASH AVE ,09/26/2011,1.515068493150685
65 ASIAN KITCHKEN,111 W JACKSON BLVD ,09/10/2010,4.2684931506849315
720 SOUTH BAR & GRILL,720 S MICHIGAN AVE ,12/29/2016,0.03561643835616438
ABOU ANDRE,60 E JACKSON AVE FL ,07/18/2013,0.7835616438356164
Acappella Bistro,1301 S Michigan AVE ,02/19/2010,3.1041095890410957
AL'S BEEF,28-32 E JACKSON BLVD ,10/05/2010,2.5753424657534247
ALAIN'S RESTAURANT,1355 S MICHIGAN AVE ,07/10/2012,0.5616438356164384
ALCOCKS,411 S WELLS ST ,04/19/2011,2.6246575342465754
ALL STARS ON WELLS,205 W WACKER DR ,01/28/2010,4.50958904109589
ALONTI CAFE,1 N FRANKLIN ST ,04/26/2012,2.4383561643835616
AM/PM,1221-1223 S Wabash AVE ,09/08/2010,3.1671232876712327
AMERICAN KIDZ ACADEMY,229 S PEORIA ST ,09/29/2011,3.317808219178082
ANDY'S FROZEN CUSTARD,108 N STATE ST ,09/13/2010,2.504109589041096
ANNA'S ASIAN BISTRO,813 W LAKE ,10/25/2011,2.8657534246575342
ARAMARK @ AMERITECH,225 W RANDOLPH ST ,05/07/2010,3.96986301369863
"Aramark Educational Services, Inc.",525 S STATE ST ,04/29/2014,0.4794520547945205
ARISTA FOODS,112 N MAY ST ,01/13/2014,2.5561643835616437
ARTIST'S CAFE,1150 S WABASH AVE ,08/23/2016,1.1753424657534246
ARTISTS CAFE,1150 S WABASH AVE ,09/04/2012,3.96986301369863
ASIAN CHAO & VILLA ITALIAN,18 W JACKSON BLVD ,11/08/2010,1.8520547945205479
AUNTE  ANNIE,225 S CANAL ST ,11/09/2016,0.06301369863013699
BABA PITA,1032 W LAKE ST ,10/08/2010,4.745205479452054
Bacci  Pizzeria,409-411 S Dearborn ST ,09/01/2010,2.9123287671232876
