Census Block,#Crimes,#Arrests
8391001043,1,0
3206002016,1,0
8391001088,1,0
8330002066,1,0
3201002032,1,0
8391001065,1,0
8419002090,1,0
8419002029,1,0
3204001020,1,1
3201002022,1,0
3204001001,1,0
8391002025,1,0
8391001072,1,0
2801002023,1,0
3206002016,1,0
3201003010,1,0
3201002026,1,0
2819001028,1,0
3301001004,1,0
8391002000,1,0
3301003006,1,0
3204001036,1,1
2832001018,1,0
8391002016,1,0
3206001008,1,0
8331003017,1,0
8391001037,1,1
2801001001,1,0
8330002107,1,0
3204001010,1,0
8391001041,1,0
3201002015,1,0
3201002015,1,0
8329001018,1,0
3201002025,1,0
3201003010,1,0
3204001010,1,1
8391001068,1,0
8330002011,1,0
3204001011,1,1
8391001022,1,0
2819003015,1,0
3201002026,1,0
8391001066,1,0
8391001081,1,0
3201002015,1,0
8391001067,1,0
3301001001,1,0
2832001003,1,0
8391001038,1,1
8419002090,1,0
3204001020,1,1
8419002031,1,1
2819003005,1,0
816001011,1,0
3302002000,1,0
8391001062,1,0
3201001016,1,0
3201002023,1,0
3204001011,1,1
8390002001,1,0
3204001010,1,0
2819003015,1,1
8419002024,1,0
2832001012,1,0
8419002024,1,0
3204001009,1,0
2819001002,1,0
3201002022,1,0
8391001075,1,0
8391001092,1,0
3201001011,1,1
8390003007,1,0
3201004020,1,0
8391001075,1,1
8391002042,1,1
8419001052,1,0
8330002038,1,1
8390001000,1,0
3201001014,1,0
3302002009,1,1
8391001043,1,0
8419002092,1,1
3201001002,1,0
3201003009,1,0
8419001058,1,1
3201001016,1,1
8391001038,1,1
3301003006,1,0
8330002050,1,0
2819001002,1,0
3204001010,1,1
3206001010,1,0
8391002049,1,0
8391001075,1,0
8331002004,1,0
8419002024,1,0
8391001091,1,1
8391001091,1,1
8419001012,1,0
3301001004,1,1
3204001031,1,0
3204001038,1,1
3301003006,1,0
8391002049,1,0
8419002024,1,1
8391001075,1,0
3204001041,1,1
8419001026,1,0
2801001022,1,0
3301003005,1,0
2819001002,1,1
8391002025,1,0
8390002000,1,1
2819001002,1,0
8330001061,1,0
8391001020,1,0
3301001001,1,0
3201001016,1,1
8391002006,1,0
3201002027,1,1
3201001015,1,0
2819001002,1,0
8419002024,1,0
8391001104,1,0
8391001107,1,0
8391001089,1,0
815003010,1,0
2831002007,1,0
8331001014,1,0
3201002027,1,1
8419002090,1,0
8391002011,1,0
3201002026,1,0
8391002000,1,0
8391002008,1,0
8391001107,1,0
8391001057,1,1
8419002024,1,1
8331001005,1,0
3204001020,1,0
8391002014,1,0
3204001019,1,0
8390002003,1,1
8330002038,1,0
3204001036,1,1
8391002007,1,0
8391001025,1,1
8331002010,1,0
8331003024,1,0
3301003006,1,0
3201001016,1,0
8419001057,1,0
8391002011,1,0
8390003007,1,0
3201001016,1,1
3201002032,1,1
3201002023,1,1
3301004011,1,0
8391001065,1,0
8331002010,1,0
8391001091,1,0
3206002005,1,0
3206002005,1,0
3204001041,1,0
8331002017,1,0
3201003008,1,1
2819001002,1,1
8330001023,1,0
3301004011,1,0
8391001047,1,0
8391002025,1,0
8419002071,1,1
8391001075,1,1
3201001016,1,0
3206002012,1,0
3302002007,1,0
3204001035,1,0
3204001020,1,0
8391001103,1,1
2832001010,1,0
8391001026,1,0
8391001036,1,0
3204001024,1,1
8390002000,1,0
8391001062,1,0
8331002015,1,0
3204001034,1,0
8419002040,1,0
8391001061,1,0
3201002026,1,0
8391002012,1,0
3301004011,1,1
8419001012,1,0
8390002003,1,1
3204001010,1,1
817002044,1,0
8391001061,1,0
8391001015,1,0
3204001020,1,1
3201001016,1,1
8419002091,1,1
8330001012,1,0
8419002071,1,0
8391001037,1,1
8330001074,1,1
3204001031,1,0
8391001020,1,0
8391001089,1,0
8391001064,1,0
8391002021,1,0
3301001007,1,0
3204001010,1,0
8391001086,1,0
8390002001,1,0
8391001075,1,1
8391001096,1,0
8382002000,1,0
2831002007,1,0
3201003009,1,0
8419002090,1,1
8391001065,1,0
8419002071,1,0
8419002090,1,1
2831001001,1,0
8390002004,1,1
3201001016,1,1
3201004007,1,0
3201001016,1,1
3301001004,1,0
3204001010,1,0
3204001038,1,0
8391002001,1,0
8330002067,1,0
8419002090,1,0
3206002008,1,0
3201003008,1,0
3201002032,1,0
8333001033,1,0
