Census Block,#Businesses with liquor licenses,#Crimes,#Arrests
814031007,18,95,18
2801001001,3,141,5
2801001013,8,49,10
2801002000,4,16,5
2801002001,12,160,17
2801002023,12,88,20
2801002024,2,100,18
2801002026,27,32,1
2801002027,3,136,29
2819001001,24,349,71
2819001002,14,1191,378
2819001003,7,58,10
2819001005,7,149,20
2819003001,6,104,10
2819003005,28,301,101
2831001000,63,74,13
2831001001,18,118,27
2831002001,13,107,13
2831002006,28,88,25
2831002007,26,179,31
2832001006,27,117,25
2832001007,45,74,13
2832001008,8,93,27
3201001002,7,462,49
3201001003,13,14,6
3201001010,20,346,36
3201001012,20,37,11
3201001015,12,279,54
3201001016,105,5712,3386
3201001017,7,1422,448
3201001018,27,456,51
3201001020,9,92,10
3201002004,4,36,7
3201002005,70,542,77
3201002007,4,108,22
3201002010,1,62,18
3201002012,35,394,121
3201002013,59,155,23
3201002014,34,294,38
3201002015,18,560,112
3201002016,11,271,51
3201002018,30,154,21
3201002019,84,1128,295
3201002021,32,89,14
3201002022,32,576,108
3201002023,51,1090,330
3201002024,45,411,85
3201002025,9,485,98
3201002027,24,610,93
3201002028,4,18,3
3201002029,40,292,36
3201002030,24,948,147
3201002032,151,895,121
3201002034,26,83,7
3201003004,2,30,2
3201003008,127,344,66
3201003009,10,138,8
3201003010,26,279,93
3201003011,21,242,29
3201004007,12,152,17
3201004020,13,138,7
3204001004,1,126,26
3204001005,37,95,20
3204001008,74,40,4
3204001009,16,564,72
3204001010,62,2605,967
3204001011,136,953,483
3204001012,5,197,33
3204001013,61,254,21
3204001014,74,113,19
3204001018,7,365,36
3204001019,32,649,167
3204001020,41,806,281
3204001025,4,117,55
3204001032,29,247,46
3204001033,4,353,51
3204001034,3,378,113
3204001035,45,971,345
3204001036,14,799,242
3204001040,88,56,24
3204001043,17,86,10
3206001008,23,434,84
3206001009,9,64,20
3206001010,13,394,81
3206002001,37,46,8
3206002002,12,171,32
3206002003,56,380,119
3206002005,26,283,73
3206002006,19,196,34
3206002007,154,135,26
3206002010,31,33,11
3206002012,17,319,45
3206002013,17,58,9
3206002014,15,63,18
3301001000,5,55,11
3301001001,14,782,120
3301001003,13,289,181
3301001004,14,1726,958
3301001005,3,9,4
3301001007,31,276,37
3301001008,43,138,17
3301001009,3,322,40
3301001010,18,76,11
3301003000,7,207,21
3301003008,34,181,13
3301003009,20,367,36
3301003013,12,41,8
3301003014,8,327,57
3301004006,19,118,40
3301004011,9,526,135
3301004012,65,91,19
3301004013,45,30,6
3301004017,72,860,287
3302002012,9,27,3
8329001009,62,100,13
8329002019,16,14,2
8330001004,9,1,0
8330001009,19,172,29
8330001013,5,74,10
8330001014,13,52,5
8330001018,35,1,0
8330001019,7,161,15
8330001020,15,104,21
8330001021,3,71,4
8330001023,6,93,11
8330001024,17,38,9
8330001026,18,131,25
8330001029,48,110,9
8330001030,46,61,6
8330001031,1,39,5
8330001032,1,57,7
8330001033,11,80,7
8330001034,3,164,36
8330001038,16,94,37
8330001040,1,65,7
8330001041,10,40,2
8330001046,25,15,1
8330001047,5,18,2
8330001048,40,21,3
8330001049,17,68,5
8330001053,37,148,6
8330001056,7,26,1
8330001059,9,198,23
8330001060,18,70,9
8330001061,11,56,10
8330001063,37,115,11
8330001067,1,24,2
8330001068,5,52,2
8330001074,9,66,15
8330002015,1,83,2
8330002022,1,111,4
8330002030,55,519,139
8330002035,18,7,1
8330002038,48,362,33
8330002040,2,119,1
8330002044,1,32,1
8330002052,1,75,5
8330002053,6,37,0
8330002056,11,15,2
8330002059,15,48,14
8330002061,6,101,11
8330002063,2,64,8
8330002065,14,20,0
8330002066,4,66,3
8330002068,39,20,2
8330002082,1,11,0
8330002084,9,23,0
8330002088,13,52,3
8330002090,13,55,9
8330002099,35,19,2
8330002107,2,58,2
8330002110,19,12,1
8330002111,12,11,3
8331001006,15,88,11
8331001007,30,98,9
8331001012,19,28,3
8331001014,24,80,8
8331001017,5,102,8
8331001021,14,85,6
8331001023,21,401,74
8331002007,23,74,6
8331002010,4,88,5
8331002015,25,43,7
8331002019,13,192,9
8331003011,16,96,14
8333001000,5,24,2
8333001001,14,48,4
8333001007,8,5,3
8333001011,13,21,2
8333001024,19,17,1
8333001026,13,90,12
8333001029,27,123,14
8333001034,16,45,10
8333001035,21,41,3
8381001007,4,6,1
8381002031,15,9,0
8390001000,27,489,62
8390001001,8,154,11
8390001005,5,140,12
8390002000,13,340,36
8390002001,11,1125,98
8390002004,4,1055,513
8390003002,41,190,19
8390003007,10,111,13
8390004001,49,265,36
8390004002,32,278,71
8390004003,7,125,12
8391001011,2,23,8
8391001012,3,13,5
8391001013,1,25,5
8391001016,6,70,9
8391001017,14,289,34
8391001018,20,92,10
8391001020,103,487,124
8391001022,13,61,16
8391001024,6,1693,633
8391001025,16,478,74
8391001027,29,144,6
8391001032,9,206,9
8391001033,48,352,43
8391001034,4,248,75
8391001035,8,869,203
8391001036,57,531,47
8391001038,52,1437,510
8391001039,1,436,293
